Designator,Mid X,Mid Y,Rotation,Layer
C1,38.4,-34.9375,90.0,top
C10,32.2,-62.2,90.0,top
C2,56.8,-33.1375,90.0,top
C3,51.8,-35.0,0.0,top
C4,41.3,-44.2,180.0,top
C5,40.4,-40.8,90.0,top
C6,19.6,-35.5625,270.0,top
C7,44.4625,-47.4,0.0,top
C8,34.4,-47.1375,270.0,top
C9,38.6,-62.2,90.0,top
D1,28.6,-61.0,90.0,top
D2,30.2,-61.0,90.0,top
D3,61.8,-37.6,180.0,top
D4,61.8,-39.2,180.0,top
IC1,29.25,-32.0425,180.0,top
IC2,39.0,-48.2,180.0,top
J1,17.09,-28.2925,180.0,top
J2,37.0,-55.35,0.0,bottom
J3,50.6,-55.35,0.0,bottom
J4,62.9,-46.17,180.0,top
J5,24.85,-50.4,270.0,top
Q1,47.2,-29.4,0.0,top
R1,53.4,-37.6,0.0,top
R10,53.18,-28.72,90.0,top
R11,47.2,-32.0,0.0,top
R2,53.6,-58.0,0.0,top
R3,28.6,-57.6,270.0,top
R4,35.4,-42.0,0.0,top
R5,50.0,-29.4,90.0,top
R6,30.2,-57.6,270.0,top
R7,58.4,-37.6,0.0,top
R8,58.4,-39.2,0.0,top
R9,53.18,-25.32,270.0,top
SW1,63.205,-33.22,90.0,top
SW2,32.45,-42.0,90.0,top
SW3,17.2,-39.4,0.0,top
SW4,59.2425,-26.995,0.0,top
U1,46.4,-39.6,180.0,top
U2,35.4,-62.2,0.0,top
