Designator,Footprint,Quantity,Value,LCSC Part #
BAR1,OSX05201-GGR1,1,OSX05201-GGR1,
BAR2,OSX40601-AO,1,OSX40601-AO,
BT1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery_Cell,
"C1, C4, C8, C9",0603,4,4.7u,
"C10, C2, C3, C5, C6, C7",0603,6,0.1u,
C11,0603,1,0.47u,
"C12, C13, C14, C15",0603,4,0.1uf,
"D1, D2",LED_D5.0mm_FlatTop,2,LED,
D3,0603,1,LED,
F1,355715,1,Fuse,
IC1,114993121,1,Wio-E5,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J2, J3",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02,
J4,SMA_Molex_73251-2120_EdgeMount_Horizontal,1,Conn_Coaxial,
J5,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"Q1, Q2",SOT-23,2,BSS138,
"R1, R2, R20, R22, R5, R6, R8",0603,7,10k,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R4, R9",0603,11,4.7k,
R19,0603,1,2k,
"R21, R3",0603,2,100,
R23,0603,1,1k,
R7,0603,1,470,
"SW1, SW2, SW3",switch_TVAF06-A020B-R,3,SW_Push,
SW4,2MS1-T1-B4-VS2-Q-E-S,1,2MS1-T2-B4-VS2-Q-E-S,
U1,LQFP-32_7x7mm_P0.8mm,1,STM32G431K8Tx,
U2,SOT-23-5,1,MCP73831-2-OT,
U3,SOT-23-5_HandSoldering,1,NJM12888F33,
"U4, U5",SOT-23-5_HandSoldering,2,XC8111AA01MR-G,
