Designator,Mid X,Mid Y,Rotation,Layer
BAR1,51.12,-22.59,90.0,bottom
BAR2,36.1,-23.112,180.0,bottom
BT1,25.0,-41.4,90.0,top
C1,58.7,-21.2,90.0,bottom
C10,25.4,-38.7375,0.0,bottom
C11,29.0,-43.4,0.0,bottom
C12,17.158576,-29.6,180.0,bottom
C13,17.158576,-36.0,180.0,bottom
C14,20.6,-29.6,180.0,bottom
C15,20.6,-36.0,180.0,bottom
C2,54.0,-40.6,0.0,top
C3,42.625,-42.125,90.0,top
C4,50.3,-29.8,90.0,top
C5,51.8,-31.5,90.0,top
C6,74.0625,-22.0,180.0,bottom
C7,34.5,-36.0,0.0,top
C8,34.44,-34.395,0.0,top
C9,30.2,-31.8,90.0,top
D1,37.7,-34.39,90.0,bottom
D2,26.9,-34.395,90.0,bottom
D3,29.4,-41.6,90.0,top
F1,18.9,-33.035,270.0,top
IC1,65.0,-25.05,0.0,top
J1,54.8,-34.21,0.0,top
J2,61.375,-39.75,90.0,top
J3,68.4,-39.75,90.0,top
J4,77.9,-28.8,0.0,top
J5,35.8,-42.76,0.0,top
J6,25.83,-29.514658,270.0,top
Q1,68.3625,-35.5,0.0,bottom
Q2,41.6,-30.6,0.0,top
R1,71.0,-41.9125,90.0,bottom
R10,37.6,-43.4,180.0,bottom
R11,42.3875,-25.6,0.0,top
R12,42.4,-20.8,0.0,top
R13,42.3875,-22.4,0.0,top
R14,45.84,-21.6,270.0,top
R15,48.38,-21.6,270.0,top
R16,50.92,-21.6,270.0,top
R17,53.46,-21.6,270.0,top
R18,56.0,-21.6,270.0,top
R19,37.2,-30.8,0.0,top
R2,41.0,-35.6,90.0,top
R20,63.8,-41.9125,90.0,bottom
R21,45.3,-30.5,180.0,top
R22,45.3,-28.9,0.0,top
R23,29.4,-38.2,270.0,top
R3,63.0,-36.4,180.0,bottom
R4,42.3875,-24.0,0.0,top
R5,46.5,-42.9,0.0,top
R6,49.9,-42.9,0.0,top
R7,78.8,-21.4,270.0,bottom
R8,65.6,-35.5,90.0,bottom
R9,37.6,-41.8,180.0,bottom
SW1,57.45,-43.0,90.0,top
SW2,78.8,-18.586,90.0,top
SW3,78.8,-21.861,90.0,top
SW4,25.4,-21.4,90.0,bottom
U1,47.0,-36.7,0.0,top
U2,33.2,-31.8,180.0,top
U3,29.0,-40.2,90.0,bottom
U4,17.108576,-32.8,90.0,bottom
U5,20.8,-32.8,90.0,bottom
